Month,Questions,Answers
"2017-06-01 00:00:00","266976","292323"
"2017-07-01 00:00:00","268819","300551"
"2017-08-01 00:00:00","265375","298675"
"2017-09-01 00:00:00","246108","269692"
"2017-10-01 00:00:00","260320","277250"
"2017-11-01 00:00:00","262237","275463"
"2017-12-01 00:00:00","224844","236293"
"2018-01-01 00:00:00","245239","261195"
"2018-02-01 00:00:00","236943","249695"
"2018-03-01 00:00:00","269693","281698"
"2018-04-01 00:00:00","252339","263244"
"2018-05-01 00:00:00","256414","267594"
"2018-06-01 00:00:00","238583","246003"
"2018-07-01 00:00:00","244743","258020"
"2018-08-01 00:00:00","239211","260513"
"2018-09-01 00:00:00","220238","238699"
"2018-10-01 00:00:00","246790","263033"
"2018-11-01 00:00:00","232708","239862"
"2018-12-01 00:00:00","205973","218316"
"2019-01-01 00:00:00","229810","248445"
"2019-02-01 00:00:00","224191","240420"
"2019-03-01 00:00:00","249381","260558"
"2019-04-01 00:00:00","237979","245094"
"2019-05-01 00:00:00","233198","239148"
"2019-06-01 00:00:00","209127","216431"
"2019-07-01 00:00:00","230908","239066"
"2019-08-01 00:00:00","215577","226123"
"2019-09-01 00:00:00","211879","220909"
"2019-10-01 00:00:00","233810","241883"
"2019-11-01 00:00:00","230583","236868"
"2019-12-01 00:00:00","210890","216533"
"2020-01-01 00:00:00","228806","234355"
"2020-02-01 00:00:00","230093","227468"
"2020-03-01 00:00:00","257197","233409"
"2020-04-01 00:00:00","299146","273645"
"2020-05-01 00:00:00","302381","286347"
"2020-06-01 00:00:00","278473","265065"
"2020-07-01 00:00:00","270745","260539"
"2020-08-01 00:00:00","244053","234779"
"2020-09-01 00:00:00","243500","223900"
"2020-10-01 00:00:00","252172","227663"
"2020-11-01 00:00:00","241161","213950"
"2020-12-01 00:00:00","229561","213621"
"2021-01-01 00:00:00","237666","221171"
"2021-02-01 00:00:00","225259","204015"
"2021-03-01 00:00:00","255846","224556"
"2021-04-01 00:00:00","236586","208077"
"2021-05-01 00:00:00","232300","207023"
"2021-06-01 00:00:00","222004","199230"
"2021-07-01 00:00:00","211981","191564"
"2021-08-01 00:00:00","207515","192056"
"2021-09-01 00:00:00","203515","188776"
"2021-10-01 00:00:00","205891","185425"
"2021-11-01 00:00:00","205554","180293"
"2021-12-01 00:00:00","193094","174434"
"2022-01-01 00:00:00","202884","184827"
"2022-02-01 00:00:00","195361","172554"
"2022-03-01 00:00:00","213987","182861"
"2022-04-01 00:00:00","199675","172796"
"2022-05-01 00:00:00","206356","175506"
"2022-06-01 00:00:00","196740","170935"
"2022-07-01 00:00:00","193419","170995"
"2022-08-01 00:00:00","197875","177128"
"2022-09-01 00:00:00","186205","164306"
"2022-10-01 00:00:00","191764","163301"
"2022-11-01 00:00:00","198949","166113"
"2022-12-01 00:00:00","176016","158822"
"2023-01-01 00:00:00","174944","156584"
"2023-02-01 00:00:00","156890","136956"
"2023-03-01 00:00:00","160050","140374"
"2023-04-01 00:00:00","129206","108533"
"2023-05-01 00:00:00","125754","105776"
"2023-06-01 00:00:00","115921","97917"
"2023-07-01 00:00:00","115530","99202"
"2023-08-01 00:00:00","113487","98264"
"2023-09-01 00:00:00","101051","87273"
"2023-10-01 00:00:00","103575","86619"
"2023-11-01 00:00:00","99202","82712"
"2023-12-01 00:00:00","85625","71108"
"2024-01-01 00:00:00","93126","79660"
"2024-02-01 00:00:00","90256","75629"
"2024-03-01 00:00:00","90557","75519"
"2024-04-01 00:00:00","86139","70433"
"2024-05-01 00:00:00","81778","67888"
"2024-06-01 00:00:00","62821","55858"
"2024-07-01 00:00:00","63756","56760"
"2024-08-01 00:00:00","56687","53380"
"2024-09-01 00:00:00","48678","47137"
"2024-10-01 00:00:00","43897","45463"
"2024-11-01 00:00:00","38030","40790"
"2024-12-01 00:00:00","33727","35384"
"2025-01-01 00:00:00","34390","37229"
"2025-02-01 00:00:00","29694","33237"
"2025-03-01 00:00:00","30557","32365"
"2025-04-01 00:00:00","24129","26031"
"2025-05-01 00:00:00","20572","22631"
"2025-06-01 00:00:00","16799","18355"
"2025-07-01 00:00:00","14353","17280"
"2025-08-01 00:00:00","9986","14072"
"2025-09-01 00:00:00","12377","13158"
"2025-10-01 00:00:00","11116","12034"
"2025-11-01 00:00:00","8390","10620"
"2025-12-01 00:00:00","6866","9037"
"2026-01-01 00:00:00","6309","8397"
"2026-02-01 00:00:00","4668","6612"
"2026-03-01 00:00:00","882","1407"
